메시지프레이밍,메시지소구,광고모델, 클릭율 
이득(향상적),감성적,일반인,0.067
이득(향상적),이성적,일반인,0.03
손실(예방적),감성적,일반인,0.088
이득(향상적),이성적,일반인,0.019
이득(향상적),이성적,캐릭터,0.091
이득(향상적),이성적,캐릭터,0.024
이득(향상적),이성적,캐릭터,0.169
이득(향상적),감성적,일반인,0.024
이득(향상적),감성적,일반인,0.067
이득(향상적),감성적,일반인,0.019
손실(예방적),감성적,일반인,0.088
이득(향상적),감성적,일반인,0.019
이득(향상적),감성적,캐릭터,0.022
이득(향상적),이성적,일반인,0.022
손실(예방적),감성적,일반인,0.009
이득(향상적),이성적,일반인,0.03
이득(향상적),감성적,캐릭터,0.009
이득(향상적),감성적,캐릭터,0.011
손실(예방적),감성적,일반인,0.04
이득(향상적),이성적,캐릭터,0.039
이득(향상적),감성적,일반인,0.067
이득(향상적),감성적,일반인,0.096
이득(향상적),이성적,일반인,0.088
이득(향상적),감성적,일반인,0.061
손실(예방적),이성적,캐릭터,0.07
이득(향상적),감성적,일반인,0.122
이득(향상적),감성적,캐릭터,0.036
손실(예방적),감성적,일반인,0.053
이득(향상적),감성적,일반인,0.064
손실(예방적),감성적,캐릭터,0.023
이득(향상적),감성적,일반인,0.03
이득(향상적),이성적,전문가,0.033
이득(향상적),감성적,전문가,0.053
손실(예방적),감성적,일반인,0.031
이득(향상적),감성적,전문가,0.084
이득(향상적),감성적,일반인,0.051
이득(향상적),감성적,전문가,0.068
이득(향상적),감성적,전문가,0.079
손실(예방적),감성적,일반인,0.058
이득(향상적),이성적,캐릭터,0.084
손실(예방적),감성적,일반인,0.072
이득(향상적),이성적,캐릭터,0.089
손실(예방적),감성적,전문가,0.115
손실(예방적),감성적,일반인,0.035
이득(향상적),감성적,일반인,0.036
이득(향상적),감성적,캐릭터,0.081
이득(향상적),감성적,일반인,0.071
이득(향상적),감성적,일반인,0.075
이득(향상적),이성적,캐릭터,0.132
이득(향상적),감성적,일반인,0.113
