Framing,Appeal,Models,CTR
Positive,Emotional,Ordinary,0.067
Positive,Rational,Ordinary,0.03
Negative,Emotional,Ordinary,0.088
Positive,Rational,Ordinary,0.019
Positive,Rational,Character,0.091
Positive,Rational,Character,0.024
Positive,Rational,Character,0.169
Positive,Emotional,Ordinary,0.024
Positive,Emotional,Ordinary,0.067
Positive,Emotional,Ordinary,0.019
Negative,Emotional,Ordinary,0.088
Positive,Emotional,Ordinary,0.019
Positive,Emotional,Character,0.022
Positive,Rational,Ordinary,0.022
Negative,Emotional,Ordinary,0.009
Positive,Rational,Ordinary,0.03
Positive,Emotional,Character,0.009
Positive,Emotional,Character,0.011
Negative,Emotional,Ordinary,0.04
Positive,Rational,Character,0.039
Positive,Emotional,Ordinary,0.067
Positive,Emotional,Ordinary,0.096
Positive,Rational,Ordinary,0.088
Positive,Emotional,Ordinary,0.061
Negative,Rational,Character,0.07
Positive,Emotional,Ordinary,0.122
Positive,Emotional,Character,0.036
Negative,Emotional,Ordinary,0.053
Positive,Emotional,Ordinary,0.064
Negative,Emotional,Character,0.023
Positive,Emotional,Ordinary,0.03
Positive,Rational,Expert,0.033
Positive,Emotional,Expert,0.053
Negative,Emotional,Ordinary,0.031
Positive,Emotional,Expert,0.084
Positive,Emotional,Ordinary,0.051
Positive,Emotional,Expert,0.068
Positive,Emotional,Expert,0.079
Negative,Emotional,Ordinary,0.058
Positive,Rational,Character,0.084
Negative,Emotional,Ordinary,0.072
Positive,Rational,Character,0.089
Negative,Emotional,Expert,0.115
Negative,Emotional,Ordinary,0.035
Positive,Emotional,Ordinary,0.036
Positive,Emotional,Character,0.081
Positive,Emotional,Ordinary,0.071
Positive,Emotional,Ordinary,0.075
Positive,Rational,Character,0.132
Positive,Emotional,Ordinary,0.113
Positive,Emotional,Ordinary,0.093
Positive,Emotional,Ordinary,0.081
Positive,Rational,Ordinary,0.147
Positive,Rational,Ordinary,0.093
Negative,Emotional,Character,0.097
Negative,Rational,Character,0.181
Positive,Emotional,Character,0.038
Positive,Rational,Ordinary,0.051
Positive,Emotional,Character,0.031
Positive,Rational,Ordinary,0.07
Negative,Emotional,Character,0.028
Negative,Emotional,Character,0.089
Positive,Emotional,Expert,0.02
Positive,Emotional,Character,0.033
Positive,Emotional,Expert,0.02
Positive,Rational,Ordinary,0.092
Positive,Rational,Ordinary,0.105
Positive,Rational,Ordinary,0.085
Positive,Emotional,Character,0.078
Positive,Rational,Ordinary,0.093
Positive,Emotional,Ordinary,0.032
Positive,Rational,Ordinary,0.054
Positive,Rational,Ordinary,0.173
Positive,Rational,Ordinary,0.148
Positive,Rational,Ordinary,0.173
Positive,Rational,Ordinary,0.128
Positive,Rational,Ordinary,0.141
Positive,Rational,Ordinary,0.158
Positive,Rational,Ordinary,0.152
Positive,Emotional,Character,0.044
Positive,Rational,Ordinary,0.094
Positive,Rational,Ordinary,0.184
Positive,Rational,Ordinary,0.165
Positive,Rational,Expert,0.021
Negative,Emotional,Character,0.051
Positive,Rational,Ordinary,0.133
Positive,Rational,Expert,0.022
Positive,Emotional,Ordinary,0.057
Positive,Emotional,Expert,0.011
Negative,Emotional,Ordinary,0.01
Positive,Rational,Expert,0.044
Negative,Rational,Expert,0.009
Positive,Emotional,Ordinary,0.06
Positive,Rational,Expert,0.021
Positive,Emotional,Character,0.039
Positive,Emotional,Character,0.042
Positive,Emotional,Character,0.029
Negative,Emotional,Character,0.053
Positive,Rational,Expert,0.033
Positive,Emotional,Character,0.049
Positive,Rational,Expert,0.036
Positive,Rational,Ordinary,0.032
Positive,Emotional,Ordinary,0.007
Negative,Emotional,Ordinary,0.02
Positive,Rational,Character,0.051
Positive,Rational,Character,0.051
Positive,Emotional,Expert,0.025
Negative,Emotional,Ordinary,0.015
Negative,Rational,Expert,0.024
Negative,Emotional,Ordinary,0.034
Negative,Emotional,Character,0.06
Positive,Emotional,Character,0.063
Positive,Rational,Expert,0.09
Positive,Rational,Expert,0.02
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.03
Negative,Emotional,Character,0.038
Negative,Emotional,Ordinary,0.013
Positive,Rational,Expert,0.027
Positive,Emotional,Character,0.04
Positive,Emotional,Ordinary,0.018
Positive,Rational,Expert,0.071
Positive,Emotional,Ordinary,0.021
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.01
Positive,Rational,Expert,0.115
Positive,Rational,Character,0.089
Negative,Emotional,Character,0.027
Positive,Emotional,Character,0.051
Positive,Emotional,Character,0.075
